Unnamed: 0,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,district
0,532.0362138385271,Entire home/apt,False,False,4.0,False,0,1,10.0,91.0,1,1.111998031295254,0.6305039554319672,526.4714723725837,20.327671950391817,915.59145484879,20.112468090997584,2.17556,41.39624,Eixample
1,169.89782856610887,Private room,False,True,2.0,True,1,0,10.0,88.0,1,1.7518309264014909,0.1240127325066581,320.1282638359374,12.360522214012931,794.2796597793981,17.447655532433757,2.14906,41.38714,Eixample
3,141.27120813647682,Private room,False,True,3.0,False,0,1,9.0,86.0,1,1.6483109257316444,0.0894418873972903,342.5958201434107,13.22802052704984,820.9219575102145,18.032897301723093,2.15342,41.37912,Eixample
5,173.3888798380152,Private room,False,True,2.0,False,0,0,9.0,96.0,1,1.474218946494826,0.5905107639773916,448.4061965785239,17.313481438022567,752.7610767001204,16.53563175486004,2.18195,41.39691,Eixample
6,258.1050573696092,Private room,False,True,4.0,False,1,0,9.0,84.0,1,0.9626655051959798,0.3561512229511313,791.8610181932638,30.574669004561542,1885.5020845376928,41.41814595357558,2.17742,41.3805,Ciutat Vella
8,190.84413619754693,Private room,False,True,2.0,True,1,0,10.0,98.0,1,2.2140696596587177,0.3760340340739545,589.7216246707768,22.769833423901023,647.2542294454813,14.218000798877462,2.17853,41.40602,Eixample
9,387.5066911816044,Private room,False,True,2.0,False,1,0,9.0,91.0,1,1.5493354688908438,0.5760887136772631,394.15758041840246,15.218879677178712,780.6235709578051,17.147677142271217,2.18778,41.3911,Sant Martí
10,117.99753299043452,Private room,False,True,2.0,False,1,0,8.0,84.0,1,2.577474937220125,0.0505123549909084,289.9208675930526,11.194179736739445,590.059600508327,12.9616269616348,2.14385,41.37486,Sants-Montjuïc
12,150.58067819489375,Private room,False,True,2.0,False,1,0,8.0,87.0,1,0.2503332310052615,0.2528296859589087,574.4148483037474,22.178821099520448,1438.187955816256,31.59215741587338,2.16704,41.38741,Eixample
13,298.6012521237228,Entire home/apt,False,False,2.0,False,0,1,8.0,68.0,1,1.6628590950723867,0.4452487701279307,428.7278563325499,16.553677980399968,944.388005004423,20.745031548278465,2.15737,41.3987,Gràcia
14,532.0362138385271,Entire home/apt,False,False,4.0,False,0,1,10.0,91.0,1,1.195572045917774,0.5798798956656107,512.8453362031679,19.80155108622612,862.6719441015455,18.95000423699522,2.1771700000000003,41.39646,Eixample
15,601.6245025251937,Entire home/apt,False,False,4.0,False,0,1,9.0,92.0,1,1.6181797777663949,0.5943029194153765,461.3156422590674,17.811930054189517,934.6544691835602,20.531218468686085,2.16091,41.4,Gràcia
16,830.8702027137105,Entire home/apt,False,False,4.0,True,0,1,10.0,98.0,2,1.0681054147484803,0.7836840505889782,555.1125286293111,21.43353623070261,1006.2993329494072,22.10501541572339,2.17052,41.39675,Eixample
18,188.5167686829427,Private room,False,True,2.0,False,1,0,9.0,89.0,1,0.893607281866932,0.2414928470372719,904.8098118025,34.93575245194005,2068.8917751168024,45.44660130935366,2.17594,41.38044,Ciutat Vella
20,190.84413619754693,Private room,False,True,2.0,False,1,0,9.0,93.0,1,1.3418886361667466,0.4021307000475468,443.9751508564179,17.142393642077543,791.9666428921269,17.396846322613353,2.18211,41.39508,Eixample
21,246.46821979658804,Private room,False,True,3.0,True,1,0,10.0,97.0,1,0.6502211473915643,0.2943198199963236,565.4134998727985,21.83126863444404,1124.6702351186466,24.7052264379796,2.17636,41.39052,Eixample
22,237.39148648963155,Private room,False,True,2.0,False,0,0,9.0,95.0,1,0.8275181078626666,0.1339678415529903,1372.6266870434974,52.99870262453062,1979.702906705288,43.487421523982,2.17441,41.38046,Ciutat Vella
23,143.36583889962063,Private room,False,True,2.0,False,1,0,10.0,88.0,1,1.0062415496413604,0.3873981829474006,616.5560662445054,23.80594222353732,1281.403117675461,28.14812128211573,2.17135,41.37813,Ciutat Vella
25,229.2457001885168,Private room,False,True,2.0,False,1,0,9.0,92.0,1,0.7476453598238054,0.4285404445871408,483.398957100001,18.664592360165383,1176.3641509900044,25.84076809026938,2.1647,41.38172,Ciutat Vella
27,156.1663602299439,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.4271333991094637,0.1645359988517286,359.2590694535644,13.8714078393346,869.5247023152548,19.100536311293915,2.1561,41.37969,Eixample
28,156.1663602299439,Private room,False,True,2.0,False,1,0,10.0,95.0,1,1.4679986305154495,0.1311631686752838,357.16400760646803,13.79051508031837,862.2116991510134,18.939894201746856,2.15595,41.37922,Eixample
29,134.28910559266413,Private room,False,True,2.0,False,1,0,7.0,85.0,1,1.8406979338482976,0.5269325619562312,514.5409151882532,19.867019350288864,663.2332035978129,14.569005175407732,2.1811700000000003,41.40143,Eixample
30,173.62161658947562,Private room,False,True,2.0,False,0,0,9.0,86.0,1,0.7537022201784571,0.0531795227633114,2064.852704441223,79.7263491079642,1882.476731633716,41.35168911474969,2.17354,41.38089,Ciutat Vella
31,196.895291735518,Private room,False,True,2.0,False,0,0,9.0,94.0,1,1.856144624305973,0.8819432144522313,448.1948494424529,17.30532108086144,771.4336552820364,16.945805570830675,2.1630000000000003,41.403,Gràcia
32,178.2763516186841,Private room,False,True,2.0,True,1,0,10.0,97.0,1,1.900925120296779,0.3117658327416206,345.33973049900885,13.333966076803025,796.9028942183851,17.505279179607314,2.15171,41.37698,Eixample
34,146.85689017152697,Private room,False,True,2.0,True,0,1,10.0,97.0,1,2.013791747624862,0.2454588450602423,350.0959740364189,13.517610136202734,888.7870401299849,19.523665156157104,2.15024,41.37678,Eixample
35,173.62161658947562,Private room,False,True,2.0,True,0,0,10.0,94.0,1,2.2643699160151285,0.7745963635953402,295.55684987485625,11.411791525705754,585.3102798794642,12.85730034401942,2.19509,41.39484,Sant Martí
36,242.9771685246817,Private room,False,True,2.0,False,1,0,9.0,91.0,1,1.1699774195367705,0.3455368177152192,644.1059054114339,24.86967335097636,1590.7563652326062,34.943572776764185,2.18245,41.38231,Ciutat Vella
39,196.895291735518,Private room,False,True,2.0,False,0,0,10.0,97.0,1,2.5241052098127468,1.0134207192098554,389.2936890941789,15.031079212329969,561.0377304865382,12.324113983916256,2.1642900000000003,41.40946,Gràcia
41,381.9210091465543,Private room,False,True,2.0,True,0,0,10.0,96.0,1,0.976245673757617,0.2229102534930288,774.627139531554,29.909249033581293,1718.826104394462,37.7568346619361,2.17941,41.38192,Ciutat Vella
42,222.26359764470405,Private room,False,True,2.0,True,1,0,10.0,95.0,1,0.9534916795497128,0.1831544009807646,828.6578767653795,31.995438237295154,1613.6838299529356,35.447212145778664,2.18089,41.38456,Ciutat Vella
43,215.28149510089136,Private room,False,True,2.0,False,0,1,8.0,85.0,1,0.6199607082425737,0.4867785428708316,565.2203669107292,21.823811547589813,1321.9280600240415,29.03831811123528,2.1672,41.38197,Ciutat Vella
44,182.93108664789256,Private room,False,True,2.0,False,1,0,10.0,91.0,1,1.0401746595264592,0.2604672360656561,691.8661058465073,26.713749882519284,1386.0404723792758,30.44665240804726,2.1730400000000003,41.37805,Ciutat Vella
45,248.56285055973183,Private room,False,True,2.0,False,1,0,9.0,90.0,1,1.2004981267607724,0.196092674890157,637.726893439375,24.623372327007736,1350.8910080231883,29.67453677008052,2.17732,41.37783,Ciutat Vella
46,157.56278073870644,Private room,False,True,2.0,True,0,0,10.0,95.0,1,2.545442545801724,0.8724268458630379,379.5579124708629,14.65516962602478,586.1743281294127,12.87628058107181,2.1593400000000003,41.40861,Gràcia
47,229.2457001885168,Private room,False,True,2.0,False,0,0,10.0,93.0,1,0.5552821869858652,0.2877282721353396,731.6085206239167,28.24825044428924,1342.2410508381893,29.484526272548607,2.17651,41.38817,Ciutat Vella
48,208.29939255707868,Private room,False,True,2.0,False,0,0,10.0,100.0,1,1.228785666587502,0.2289362789485677,613.9187360711954,23.7041118577887,1349.8511214759246,29.651693956411457,2.17786,41.37778,Ciutat Vella
51,462.91339865478153,Private room,False,True,4.0,False,1,0,10.0,92.0,2,1.066661897856677,0.3152829741031193,696.043930347617,26.8750605144936,1940.985456963184,42.63692923467654,2.1800200000000003,41.38118,Ciutat Vella
52,190.84413619754693,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.4143846550313195,0.1792636288495408,359.4358762834889,13.878234555359873,876.9163138050798,19.262905181648552,2.156,41.38,Eixample
52,190.84413619754693,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.4143846550313195,0.1792636288495408,359.4358762834889,13.878234555359873,876.9163138050798,19.262905181648552,2.156,41.38,Eixample
52,190.84413619754693,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.4143846550313195,0.1792636288495408,359.4358762834889,13.878234555359873,876.9163138050798,19.262905181648552,2.156,41.38,Eixample
52,190.84413619754693,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.4143846550313195,0.1792636288495408,359.4358762834889,13.878234555359873,876.9163138050798,19.262905181648552,2.156,41.38,Eixample
53,167.80319780296506,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.414392357739039,0.1792589221114512,359.434805328742,13.878193204559476,876.9173909037144,19.262928841886755,2.156,41.38,Eixample
53,167.80319780296506,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.414392357739039,0.1792589221114512,359.434805328742,13.878193204559476,876.9173909037144,19.262928841886755,2.156,41.38,Eixample
53,167.80319780296506,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.414392357739039,0.1792589221114512,359.434805328742,13.878193204559476,876.9173909037144,19.262928841886755,2.156,41.38,Eixample
53,167.80319780296506,Private room,False,True,2.0,False,1,0,10.0,92.0,1,1.414392357739039,0.1792589221114512,359.434805328742,13.878193204559476,876.9173909037144,19.262928841886755,2.156,41.38,Eixample
55,167.80319780296506,Private room,False,True,2.0,False,1,0,10.0,88.0,1,1.4143918591627842,0.1792542981969781,359.4356206241588,13.878224684057688,876.9105099738077,19.26277769097501,2.156,41.38,Eixample
55,167.80319780296506,Private room,False,True,2.0,False,1,0,10.0,88.0,1,1.4143918591627842,0.1792542981969781,359.4356206241588,13.878224684057688,876.9105099738077,19.26277769097501,2.156,41.38,Eixample
55,167.80319780296506,Private room,False,True,2.0,False,1,0,10.0,88.0,1,1.4143918591627842,0.1792542981969781,359.4356206241588,13.878224684057688,876.9105099738077,19.26277769097501,2.156,41.38,Eixample
55,167.80319780296506,Private room,False,True,2.0,False,1,0,10.0,88.0,1,1.4143918591627842,0.1792542981969781,359.4356206241588,13.878224684057688,876.9105099738077,19.26277769097501,2.156,41.38,Eixample
56,219.7034933786394,Private room,False,True,2.0,False,0,0,10.0,93.0,1,0.2175519629701014,0.2064769074135296,576.4075960332611,22.25576339222036,1483.1127889953543,32.579005063940635,2.16778,41.38613,Eixample
57,286.9644145507017,Private room,False,True,2.0,True,0,0,10.0,98.0,1,2.2616743569476263,0.3148169588133111,292.8850782826788,11.308631336973392,685.3395801135449,15.05460799523054,2.19705,41.38774,Sant Martí
