Unnamed: 0,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,district
1,156.60425870088588,Entire home/apt,False,False,3.0,False,0,0,10.0,97.0,1,4.807911759774244,0.2282531034796721,80.14501548622435,5.739643396150461,85.72760015762569,2.049380369753787,16.333560000000002,48.17459,Meidling
3,301.75537012364725,Entire home/apt,False,False,4.0,True,0,1,10.0,94.0,2,3.2405949044170126,0.6104299085746427,92.47393763063064,6.62258809506262,129.86383095833605,3.1044889325921967,16.33006,48.20921,Ottakring
4,150.76081621204685,Entire home/apt,False,False,2.0,True,0,1,10.0,96.0,1,2.2411456013369726,1.119506679321442,124.2567671598323,8.898738477111191,154.34897145936998,3.6898239495671095,16.38867,48.19104,Landstraße
5,162.4477011897249,Private room,False,True,2.0,True,1,0,10.0,99.0,1,4.611961297509255,0.1999263376405432,52.07794070250866,3.729599484445128,75.51554229541411,1.805253730501952,16.39755,48.24682,Floridsdorf
6,196.33966762499125,Entire home/apt,False,False,3.0,True,0,1,9.0,91.0,1,2.371546720649778,0.452411779628955,125.41362450864231,8.981587654968383,206.64483048672,4.939994334752319,16.34236,48.20436,Neubau
7,107.75307949419162,Private room,False,True,2.0,False,0,0,8.0,92.0,1,3.629103159217296,0.4731590304161421,62.459579299245455,4.473088060141057,93.81093258836717,2.2426182858426134,16.37837,48.24102,Brigittenau
9,212.23383119463335,Entire home/apt,False,False,2.0,True,1,0,10.0,97.0,1,2.01113664380809,0.6790798907984312,145.3493808827143,10.409301302854251,237.9890637067522,5.689300930854491,16.34682,48.2062,Neubau
10,235.6076011499895,Entire home/apt,False,False,2.0,True,1,0,10.0,97.0,1,1.8900614311022708,0.6847805887567694,155.41143542575918,11.129902634818809,265.42385613318123,6.345149513383512,16.34843,48.20637,Neubau
11,251.50176471963164,Entire home/apt,False,False,2.0,False,0,1,9.0,90.0,1,1.3833728671018028,0.1348377746547809,128.35016134068894,9.191889869439924,210.4594695087496,5.031186043316072,16.38027,48.22016,Leopoldstadt
12,251.50176471963164,Entire home/apt,False,False,2.0,False,0,1,10.0,100.0,1,1.5902929645780357,0.316954029275263,116.12453354596516,8.316342670277663,184.8113321421513,4.4180487439724665,16.38168,48.221790000000006,Leopoldstadt
14,270.20078068391655,Entire home/apt,False,False,4.0,False,0,1,10.0,87.0,1,1.270137239401398,0.0447239011550992,140.5733849609128,10.06726489190214,231.50878596007,5.53438519799618,16.38021,48.21908,Leopoldstadt
15,456.95720262721176,Entire home/apt,False,False,6.0,False,0,1,9.0,88.0,2,3.645033449117763,1.1125189526714243,75.19756774196917,5.385328338615851,107.62382557046384,2.5728254965305326,16.3287,48.22165,Hernals
16,300.3529439263259,Entire home/apt,False,False,4.0,True,0,1,10.0,97.0,1,1.3459502566018784,0.3547830987730982,145.25259528934373,10.402369932407046,218.58695052744676,5.225479363374476,16.39134,48.20589,Landstraße
17,155.43557020311806,Private room,False,True,2.0,False,1,0,10.0,88.0,1,1.6519365505537065,0.2420907862965439,166.67757719334628,11.936735546436882,261.83763218106674,6.259418232495085,16.366670000000003,48.19442,Wieden
19,463.9693336138186,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,1,1.2327174476308211,0.4713739059285497,160.80572294549805,11.516218446872369,249.84704765478585,5.97277462524548,16.384339999999998,48.20004,Landstraße
22,237.477502746418,Entire home/apt,False,False,2.0,True,0,1,9.0,89.0,0,1.1940295103763467,0.583606509555921,150.0620676697557,10.746803784215889,242.12587451575837,5.788194389317977,16.38937,48.21079,Landstraße
23,157.5392094991001,Entire home/apt,False,False,2.0,False,1,0,10.0,94.0,1,3.517996760509102,0.5357547967789784,94.19989762757294,6.746193971714706,121.28050652385234,2.899298345536037,16.34423,48.18374,Meidling
24,165.72002898347475,Entire home/apt,False,False,4.0,False,0,1,8.0,79.0,1,2.659682867177048,0.4459752264010312,85.22419470716372,6.103392498904583,131.86523455801597,3.1523339351537643,16.35812,48.23008,Alsergrund
26,160.1103241941893,Entire home/apt,False,False,6.0,False,0,0,9.0,92.0,2,4.346333489805199,0.1304302170852244,108.17061867276487,7.7467172893535805,103.98676637014584,2.485878962216506,16.327560000000002,48.184470000000005,Rudolfsheim-Fünfhaus
27,693.4997545754155,Entire home/apt,False,False,4.0,False,0,1,9.0,88.0,1,3.194121059482125,0.5808537002573271,97.99841239445884,7.018227360998711,136.35826258042627,3.2597430240930425,16.331,48.205,Ottakring
30,236.7762896477573,Entire home/apt,False,False,4.0,True,1,0,10.0,97.0,1,1.3869140266347346,0.4777028704638534,129.37539704491158,9.265312867782855,208.6646555779613,4.988279716411377,16.374000000000002,48.221,Leopoldstadt
31,227.42678166561487,Entire home/apt,False,False,4.0,True,1,0,10.0,97.0,0,1.3010757212834307,0.3899574636784199,135.39279483586637,9.696253173718668,219.44978839464105,5.24610612749778,16.37367,48.22023,Leopoldstadt
35,263.1886496973097,Entire home/apt,False,False,2.0,False,1,0,9.0,85.0,1,0.118289386028201,0.2361462699076518,422.70071470599805,30.272018178440284,794.3333312164268,18.989113576525018,16.37388,48.20958,Innere Stadt
